DateTime,Rain,EPot,EAct,W,SM,Infil,R,RObs
2012-6-5 3:00,0.158,0.081,0.013,19.987,0.001,0.026,21.424,0
2012-6-5 4:00,0.158,0.081,0.013,19.975,0.001,0,21.9,0
2012-6-5 5:00,0.158,0.081,0.013,19.962,0.002,0,21.899,0
2012-6-5 6:00,0.158,0.098,0.015,19.947,0.001,0,21.905,0
2012-6-5 7:00,0.158,0.098,0.015,19.932,0.002,0,21.996,0
2012-6-5 8:00,0.158,0.098,0.015,19.917,0,0,22.091,0
2012-6-5 9:00,0.158,0.074,0.012,19.906,0.003,0,22.131,0
2012-6-5 10:00,0.16,0.074,0.071,20.208,0.404,0.303,22.122,0
2012-6-5 11:00,0.161,0.074,0.053,20.336,0.198,0.131,22.107,0
2012-6-5 12:00,0.161,0.022,0.01,20.348,0.026,0.013,22.127,0
2012-6-5 13:00,0.161,0.022,0.004,20.344,0,0,22.204,0
2012-6-5 14:00,0.161,0.022,0.004,20.341,0,0,22.338,0
